timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,geo_country,asn,behavior_type
2025-01-18T04:24:20+00:00,192.0.2.135,192.0.2.30,2402,8333,synthetic_tx_00000018,"[""synthetic_wallet_001635""]","[""synthetic_wallet_001530"",""synthetic_wallet_001796"",""synthetic_wallet_002121"",""synthetic_wallet_001851""]",[0.65736875],"[0.16431583,0.16431583,0.16431583,0.16431584]",0.0001054,P2SH_P2WPKH,NL,64516,EXCHANGE_LIKE
2025-01-19T22:58:39+00:00,192.0.2.30,198.51.100.38,3082,80,synthetic_tx_00000019,"[""synthetic_wallet_000030""]","[""synthetic_wallet_000292""]",[0.19424073],[0.19413028],0.00011043,P2SH_P2WPKH,GB,64521,NORMAL
2025-01-20T19:37:58+00:00,198.51.100.235,192.0.2.128,38447,8333,synthetic_tx_00000020,"[""synthetic_wallet_001989""]","[""synthetic_wallet_000878""]",[0.37416403],[0.37276009],0.00140392,P2SH_P2WPKH,JP,64520,NORMAL
2025-01-07T10:00:20+00:00,192.0.2.207,192.0.2.169,24243,8333,synthetic_tx_00000021,"[""synthetic_wallet_000207""]","[""synthetic_wallet_001669""]",[1.74314805],[1.74215615],0.00099188,P2TR,NL,64518,RAPID_TRANSFER
2025-01-22T02:12:24+00:00,192.0.2.222,198.51.100.151,57494,8333,synthetic_tx_00000022,"[""synthetic_wallet_000222""]","[""synthetic_wallet_000405""]",[1.03642214],[1.03590656],0.00051556,P2SH_P2WPKH,GB,64513,LAYERING_LIKE
2025-01-23T15:21:36+00:00,198.51.100.84,203.0.113.67,58334,443,synthetic_tx_00000023,"[""synthetic_wallet_001838""]","[""synthetic_wallet_000575""]",[0.49954569],[0.49884635],0.00069932,P2PKH,DE,64519,NORMAL
2025-01-24T03:23:44+00:00,203.0.113.207,192.0.2.61,11923,8333,synthetic_tx_00000024,"[""synthetic_wallet_002215""]","[""synthetic_wallet_000061""]",[2.31959911],[2.31832453],0.00127456,P2TR,FR,64516,NORMAL
2025-01-25T05:59:39+00:00,192.0.2.143,192.0.2.241,18404,443,synthetic_tx_00000025,"[""synthetic_wallet_001643""]","[""synthetic_wallet_000241""]",[0.97848414],[0.97700601],0.00147811,P2WPKH,BR,64514,NORMAL
2025-01-26T05:38:09+00:00,192.0.2.27,198.51.100.240,4856,8333,synthetic_tx_00000026,"[""synthetic_wallet_002277""]","[""synthetic_wallet_001994""]",[0.51524977],[0.51491538],0.00033437,P2PKH,JP,64518,NORMAL
2025-01-19T10:00:26+00:00,192.0.2.15,192.0.2.207,35831,8333,synthetic_tx_00000027,"[""synthetic_wallet_000015""]","[""synthetic_wallet_000207""]",[8.60835388],[8.60697397],0.00137989,P2PKH,NL,64516,RAPID_TRANSFER
2025-01-28T02:28:27+00:00,198.51.100.27,192.0.2.189,8880,18444,synthetic_tx_00000028,"[""synthetic_wallet_000281""]","[""synthetic_wallet_002439""]",[1.70427076],[1.70391029],0.00036045,P2SH_P2WPKH,IN,64512,LAYERING_LIKE
2025-01-29T15:15:48+00:00,192.0.2.163,198.51.100.83,21757,80,synthetic_tx_00000029,"[""synthetic_wallet_000163""]","[""synthetic_wallet_000337""]",[1.66056425],[1.65971204],0.00085219,P2WPKH,FR,64514,NORMAL
2025-01-30T23:30:07+00:00,192.0.2.122,203.0.113.29,50298,80,synthetic_tx_00000030,"[""synthetic_wallet_001622""]","[""synthetic_wallet_000537""]",[0.78499285],[0.78451173],0.0004811,P2TR,DE,64513,NORMAL
2025-01-31T07:45:38+00:00,192.0.2.57,198.51.100.47,23896,80,synthetic_tx_00000031,"[""synthetic_wallet_002307""]","[""synthetic_wallet_000301"",""synthetic_wallet_002203""]",[1.2894175],"[0.64460506,0.64460506]",0.00020736,P2WPKH,NL,64518,EXCHANGE_LIKE
2025-02-01T11:00:51+00:00,198.51.100.41,203.0.113.219,43882,8333,synthetic_tx_00000032,"[""synthetic_wallet_001795""]","[""synthetic_wallet_002227""]",[1.54861053],[1.54712953],0.00148098,P2WPKH,FR,64516,NORMAL
2025-02-02T03:53:49+00:00,198.51.100.171,198.51.100.81,19489,8333,synthetic_tx_00000033,"[""synthetic_wallet_000425""]","[""synthetic_wallet_001085"",""synthetic_wallet_000474""]",[1.86892088],"[0.93433962,0.93433962]",0.00024162,P2WPKH,IN,64516,MIXING_LIKE
2025-02-03T17:47:12+00:00,198.51.100.78,203.0.113.64,4353,8333,synthetic_tx_00000034,"[""synthetic_wallet_001082""]","[""synthetic_wallet_002072""]",[0.66524707],[0.66388389],0.00136316,P2TR,DE,64513,NORMAL
2025-02-04T12:08:39+00:00,192.0.2.181,192.0.2.15,18191,8333,synthetic_tx_00000035,"[""synthetic_wallet_000181""]","[""synthetic_wallet_000015""]",[1.9392421],[1.93828278],0.0009593,P2TR,US,64512,LAYERING_LIKE
2025-01-01T00:21:07+00:00,192.0.2.252,192.0.2.49,46310,18444,synthetic_tx_00000036,"[""synthetic_wallet_001752""]","[""synthetic_wallet_002299""]",[0.32409101],[0.32267286],0.00141813,P2PKH,ZA,64513,NORMAL
2025-01-02T05:23:30+00:00,192.0.2.136,192.0.2.14,24921,80,synthetic_tx_00000037,"[""synthetic_wallet_002386""]","[""synthetic_wallet_002264""]",[1.10297745],[1.10290511],7.232e-05,P2WPKH,AU,64517,LAYERING_LIKE
2025-01-03T12:52:37+00:00,198.51.100.19,198.51.100.168,27656,18444,synthetic_tx_00000038,"[""synthetic_wallet_001023""]","[""synthetic_wallet_000422""]",[1.96128479],[1.95995741],0.00132736,P2SH_P2WPKH,NL,64514,NORMAL
2025-01-04T00:54:08+00:00,192.0.2.220,203.0.113.218,52298,18444,synthetic_tx_00000039,"[""synthetic_wallet_000970""]","[""synthetic_wallet_000726"",""synthetic_wallet_001690""]",[0.48943363],"[0.24402306,0.24402306]",0.00138749,P2SH_P2WPKH,AU,64521,MIXING_LIKE
2025-01-05T01:24:35+00:00,198.51.100.189,192.0.2.68,54539,443,synthetic_tx_00000040,"[""synthetic_wallet_000443""]","[""synthetic_wallet_001568""]",[2.15355347],[2.15321202],0.00034143,P2WPKH,BR,64514,NORMAL
2025-01-06T00:51:41+00:00,192.0.2.183,192.0.2.164,19282,443,synthetic_tx_00000041,"[""synthetic_wallet_000933""]","[""synthetic_wallet_000914""]",[1.6670813],[1.66647757],0.00060371,P2WPKH,JP,64514,LAYERING_LIKE
2025-01-07T09:30:37+00:00,192.0.2.138,203.0.113.190,18421,8333,synthetic_tx_00000042,"[""synthetic_wallet_001638""]","[""synthetic_wallet_002198"",""synthetic_wallet_001357"",""synthetic_wallet_000114"",""synthetic_wallet_000473""]",[0.48749115],"[0.12151173,0.12151173,0.12151173,0.12151176]",0.00144418,P2TR,GB,64519,EXCHANGE_LIKE
2025-01-08T22:04:17+00:00,203.0.113.27,198.51.100.35,59973,8333,synthetic_tx_00000043,"[""synthetic_wallet_001285""]","[""synthetic_wallet_001789""]",[2.46137783],[2.4611955],0.00018231,P2WPKH,US,64516,NORMAL
2025-01-09T18:55:46+00:00,198.51.100.33,192.0.2.7,48172,18444,synthetic_tx_00000044,"[""synthetic_wallet_001787""]","[""synthetic_wallet_000007""]",[2.31765916],[2.31684685],0.00081229,P2SH_P2WPKH,BR,64518,NORMAL
2025-01-10T22:41:18+00:00,198.51.100.33,203.0.113.96,48193,18444,synthetic_tx_00000045,"[""synthetic_wallet_000287""]","[""synthetic_wallet_001354""]",[0.81909333],[0.81781977],0.00127354,P2WPKH,BR,64518,NORMAL
2025-01-11T06:59:04+00:00,203.0.113.79,198.51.100.208,45412,8333,synthetic_tx_00000046,"[""synthetic_wallet_001337""]","[""synthetic_wallet_001212"",""synthetic_wallet_002272"",""synthetic_wallet_000522""]",[1.08009352],"[0.35956078,0.35956078,0.3595608]",0.00141114,P2SH_P2WPKH,IN,64518,EXCHANGE_LIKE
2025-01-12T19:56:59+00:00,198.51.100.229,192.0.2.165,14798,8333,synthetic_tx_00000047,"[""synthetic_wallet_001233""]","[""synthetic_wallet_001665""]",[2.09262666],[2.09216387],0.00046277,P2WPKH,JP,64514,NORMAL
2025-01-13T18:36:40+00:00,198.51.100.58,192.0.2.126,53192,8333,synthetic_tx_00000048,"[""synthetic_wallet_001812""]","[""synthetic_wallet_000876""]",[1.20930616],[1.20795338],0.00135276,P2PKH,ZA,64513,NORMAL
2025-01-14T08:33:04+00:00,203.0.113.115,198.51.100.129,14074,8333,synthetic_tx_00000049,"[""synthetic_wallet_001373""]","[""synthetic_wallet_000383""]",[1.69834939],[1.69800466],0.00034471,P2PKH,IN,64514,NORMAL
2025-01-15T16:34:52+00:00,198.51.100.193,198.51.100.45,13766,8333,synthetic_tx_00000050,"[""synthetic_wallet_001947""]","[""synthetic_wallet_000299""]",[1.06538048],[1.06443211],0.00094835,P2TR,NL,64518,NORMAL
2025-01-16T23:53:10+00:00,192.0.2.250,203.0.113.97,57413,80,synthetic_tx_00000051,"[""synthetic_wallet_001000""]","[""synthetic_wallet_000605""]",[1.73467491],[1.73333483],0.00134006,P2TR,SG,64521,NORMAL
2025-01-17T01:49:42+00:00,203.0.113.114,198.51.100.149,8977,8333,synthetic_tx_00000052,"[""synthetic_wallet_002122""]","[""synthetic_wallet_001903""]",[1.4156442],[1.41426715],0.00137703,P2TR,AU,64513,NORMAL
2025-01-18T19:56:50+00:00,192.0.2.40,203.0.113.42,57482,8333,synthetic_tx_00000053,"[""synthetic_wallet_002290""]","[""synthetic_wallet_001300"",""synthetic_wallet_001813"",""synthetic_wallet_002068"",""synthetic_wallet_001748""]",[1.14248835],"[0.28556029,0.28556029,0.28556029,0.28556031]",0.00024715,P2WPKH,AU,64521,EXCHANGE_LIKE
2025-01-17T10:00:53+00:00,192.0.2.216,198.51.100.133,29851,8333,synthetic_tx_00000054,"[""synthetic_wallet_000216""]","[""synthetic_wallet_001137""]",[8.74851646],[8.74814996],0.00036648,P2WPKH,ZA,64517,RAPID_TRANSFER
2025-01-20T19:39:58+00:00,203.0.113.118,203.0.113.52,26126,8333,synthetic_tx_00000055,"[""synthetic_wallet_001376""]","[""synthetic_wallet_001310""]",[0.24741526],[0.2471805],0.00023474,P2SH_P2WPKH,CA,64517,NORMAL
2025-01-21T19:45:21+00:00,192.0.2.170,203.0.113.98,55608,8333,synthetic_tx_00000056,"[""synthetic_wallet_001670""]","[""synthetic_wallet_001356""]",[1.19151454],[1.19141174],0.00010278,P2PKH,DE,64521,NORMAL
2025-01-22T17:21:58+00:00,192.0.2.109,192.0.2.59,50403,8333,synthetic_tx_00000057,"[""synthetic_wallet_002359""]","[""synthetic_wallet_001559""]",[0.0644454],[0.06391126],0.00053412,P2TR,FR,64520,LAYERING_LIKE
2025-01-23T08:01:46+00:00,203.0.113.229,192.0.2.222,32851,8333,synthetic_tx_00000058,"[""synthetic_wallet_002237""]","[""synthetic_wallet_002472""]",[1.24616222],[1.24574553],0.00041667,P2WPKH,IN,64518,NORMAL
2025-01-24T00:58:54+00:00,192.0.2.157,203.0.113.169,44474,8333,synthetic_tx_00000059,"[""synthetic_wallet_001657""]","[""synthetic_wallet_000677"",""synthetic_wallet_001916"",""synthetic_wallet_000523"",""synthetic_wallet_002189""]",[2.27197571],"[0.56777094,0.56777094,0.56777094,0.56777095]",0.00089192,P2TR,US,64518,EXCHANGE_LIKE
2025-01-25T01:49:50+00:00,198.51.100.138,203.0.113.237,30823,8333,synthetic_tx_00000060,"[""synthetic_wallet_001892""]","[""synthetic_wallet_000745""]",[0.68738297],[0.68688519],0.00049776,P2TR,CA,64513,NORMAL
2025-01-26T02:58:55+00:00,192.0.2.227,198.51.100.30,4437,443,synthetic_tx_00000061,"[""synthetic_wallet_001727""]","[""synthetic_wallet_001034""]",[1.20225175],[1.20112568],0.00112605,P2SH_P2WPKH,BR,64518,NORMAL
2025-01-27T00:44:31+00:00,192.0.2.165,198.51.100.10,32059,8333,synthetic_tx_00000062,"[""synthetic_wallet_000165""]","[""synthetic_wallet_001014"",""synthetic_wallet_000818""]",[1.57227236],"[0.78595345,0.78595346]",0.00036543,P2SH_P2WPKH,JP,64516,EXCHANGE_LIKE
2025-01-28T06:06:32+00:00,198.51.100.46,192.0.2.12,48102,8333,synthetic_tx_00000063,"[""synthetic_wallet_001050""]","[""synthetic_wallet_001512""]",[1.5344371],[1.53299112],0.00144596,P2SH_P2WPKH,GB,64521,NORMAL
2025-01-13T10:01:03+00:00,192.0.2.28,192.0.2.107,39827,8333,synthetic_tx_00000064,"[""synthetic_wallet_000028""]","[""synthetic_wallet_000107"",""synthetic_wallet_001279"",""synthetic_wallet_002360"",""synthetic_wallet_001539""]",[16.94939724],"[4.23727292,4.23727292,4.23727292,4.23727295]",0.00030551,P2SH_P2WPKH,SG,64519,HIGH_NETWORK_DIVERSITY
2025-01-30T04:24:26+00:00,198.51.100.232,192.0.2.211,3715,8333,synthetic_tx_00000065,"[""synthetic_wallet_001236""]","[""synthetic_wallet_002461""]",[2.00075668],[1.99990342],0.00085324,P2TR,ZA,64517,NORMAL
2025-01-31T03:50:33+00:00,198.51.100.29,203.0.113.141,59454,18444,synthetic_tx_00000066,"[""synthetic_wallet_000283""]","[""synthetic_wallet_001399"",""synthetic_wallet_000052"",""synthetic_wallet_001722"",""synthetic_wallet_002009""]",[1.11213233],"[0.27789566,0.27789566,0.27789566,0.27789567]",0.00054966,P2SH_P2WPKH,FR,64514,EXCHANGE_LIKE
2025-02-01T22:25:28+00:00,203.0.113.130,198.51.100.103,32710,8333,synthetic_tx_00000067,"[""synthetic_wallet_002138""]","[""synthetic_wallet_001107""]",[2.03008809],[2.02927619],0.00081188,P2WPKH,DE,64519,NORMAL
2025-02-02T10:09:19+00:00,198.51.100.2,198.51.100.101,31479,8333,synthetic_tx_00000068,"[""synthetic_wallet_001006""]","[""synthetic_wallet_000355""]",[2.2099964],[2.20962302],0.00037336,P2TR,AU,64517,NORMAL
2025-02-03T06:37:14+00:00,203.0.113.17,203.0.113.74,17955,8333,synthetic_tx_00000069,"[""synthetic_wallet_002025""]","[""synthetic_wallet_001332""]",[1.24449733],[1.24395862],0.00053869,P2WPKH,JP,64516,NORMAL
2025-02-04T03:07:01+00:00,203.0.113.109,192.0.2.33,37408,18444,synthetic_tx_00000070,"[""synthetic_wallet_002117""]","[""synthetic_wallet_000783""]",[0.64132232],[0.64070672],0.00061558,P2TR,IN,64518,NORMAL
2025-01-01T08:04:05+00:00,203.0.113.3,192.0.2.71,44537,8333,synthetic_tx_00000071,"[""synthetic_wallet_002011""]","[""synthetic_wallet_000071"",""synthetic_wallet_000382"",""synthetic_wallet_001206""]",[1.04078277],"[0.34680341,0.34680341,0.34680341]",0.00037252,P2TR,FR,64512,EXCHANGE_LIKE
2025-01-02T20:02:20+00:00,203.0.113.151,192.0.2.244,18778,8333,synthetic_tx_00000072,"[""synthetic_wallet_001409""]","[""synthetic_wallet_001744""]",[0.86043868],[0.85938141],0.00105725,P2SH_P2WPKH,IN,64520,NORMAL
2025-01-03T04:21:10+00:00,192.0.2.39,203.0.113.36,46254,8333,synthetic_tx_00000073,"[""synthetic_wallet_000789""]","[""synthetic_wallet_001294""]",[1.87005861],[1.86863178],0.00142681,P2SH_P2WPKH,JP,64520,NORMAL
2025-01-04T03:39:36+00:00,198.51.100.129,192.0.2.166,24674,8333,synthetic_tx_00000074,"[""synthetic_wallet_001133""]","[""synthetic_wallet_002416"",""synthetic_wallet_002150"",""synthetic_wallet_002446"",""synthetic_wallet_001161""]",[2.08993949],"[0.52237201,0.52237201,0.52237201,0.52237203]",0.00045141,P2PKH,IN,64514,EXCHANGE_LIKE
2025-01-05T10:38:10+00:00,203.0.113.11,192.0.2.187,57939,80,synthetic_tx_00000075,"[""synthetic_wallet_000519""]","[""synthetic_wallet_000187"",""synthetic_wallet_000224"",""synthetic_wallet_002268""]",[1.75867261],"[0.58615814,0.58615814,0.58615815]",0.00019816,P2PKH,NL,64520,EXCHANGE_LIKE
2025-01-06T16:02:13+00:00,198.51.100.169,198.51.100.208,17570,443,synthetic_tx_00000076,"[""synthetic_wallet_001923""]","[""synthetic_wallet_001962""]",[0.88472953],[0.88328092],0.00144859,P2PKH,NL,64514,NORMAL
2025-01-07T02:41:50+00:00,192.0.2.142,203.0.113.8,10967,8333,synthetic_tx_00000077,"[""synthetic_wallet_001642""]","[""synthetic_wallet_002016""]",[1.46370183],[1.462669],0.00103281,P2WPKH,AU,64513,LAYERING_LIKE
2025-01-08T20:19:07+00:00,198.51.100.13,198.51.100.232,52845,8333,synthetic_tx_00000078,"[""synthetic_wallet_001017""]","[""synthetic_wallet_000486""]",[1.92288644],[1.92197301],0.00091341,P2TR,JP,64518,NORMAL
2025-01-09T21:25:39+00:00,198.51.100.60,198.51.100.214,41723,8333,synthetic_tx_00000079,"[""synthetic_wallet_001814""]","[""synthetic_wallet_001218""]",[2.47557659],[2.47511155],0.00046502,P2PKH,DE,64515,NORMAL
2025-01-10T08:43:59+00:00,192.0.2.102,192.0.2.116,1199,8333,synthetic_tx_00000080,"[""synthetic_wallet_000852""]","[""synthetic_wallet_000866"",""synthetic_wallet_001085"",""synthetic_wallet_000333"",""synthetic_wallet_000644""]",[0.47584319],"[0.11893033,0.11893033,0.11893033,0.11893033]",0.00012185,P2TR,ZA,64513,MIXING_LIKE
2025-01-11T10:17:36+00:00,192.0.2.199,198.51.100.178,46072,8333,synthetic_tx_00000081,"[""synthetic_wallet_000949""]","[""synthetic_wallet_001182""]",[1.77231952],[1.77163299],0.00068651,P2WPKH,US,64520,NORMAL
2025-01-07T10:01:21+00:00,192.0.2.161,192.0.2.167,43467,8333,synthetic_tx_00000082,"[""synthetic_wallet_000161""]","[""synthetic_wallet_002417""]",[7.68124444],[7.68042302],0.0008214,P2WPKH,IN,64512,RAPID_TRANSFER
2025-01-13T06:02:27+00:00,198.51.100.39,192.0.2.245,55041,8333,synthetic_tx_00000083,"[""synthetic_wallet_000293""]","[""synthetic_wallet_000245""]",[1.99193999],[1.99104335],0.00089662,P2WPKH,IN,64514,LAYERING_LIKE
2025-01-14T14:39:17+00:00,198.51.100.166,198.51.100.242,33385,8333,synthetic_tx_00000084,"[""synthetic_wallet_001920""]","[""synthetic_wallet_001246""]",[2.35955679],[2.35880107],0.0007557,P2PKH,ZA,64521,NORMAL
2025-01-15T20:56:32+00:00,203.0.113.63,198.51.100.22,51143,8333,synthetic_tx_00000085,"[""synthetic_wallet_001321""]","[""synthetic_wallet_001026"",""synthetic_wallet_000106"",""synthetic_wallet_000375"",""synthetic_wallet_000938""]",[1.48845118],"[0.37210256,0.37210256,0.37210256,0.37210257]",4.091e-05,P2WPKH,US,64512,MIXING_LIKE
2025-01-16T18:53:41+00:00,203.0.113.210,198.51.100.175,12918,443,synthetic_tx_00000086,"[""synthetic_wallet_000718""]","[""synthetic_wallet_001929""]",[1.64619825],[1.64482328],0.00137495,P2TR,AU,64519,NORMAL
2025-01-04T10:01:26+00:00,192.0.2.121,192.0.2.174,46484,8333,synthetic_tx_00000087,"[""synthetic_wallet_000121""]","[""synthetic_wallet_001674"",""synthetic_wallet_001367"",""synthetic_wallet_001317""]",[15.44630904],"[5.14860253,5.14860253,5.14860255]",0.00050141,P2TR,US,64512,HIGH_NETWORK_DIVERSITY
2025-01-15T10:01:27+00:00,192.0.2.141,192.0.2.152,8621,443,synthetic_tx_00000088,"[""synthetic_wallet_000141""]","[""synthetic_wallet_000152""]",[1.63067328],[1.63028719],0.00038607,P2PKH,JP,64512,RAPID_TRANSFER
2025-01-19T18:52:32+00:00,203.0.113.215,192.0.2.193,42010,8333,synthetic_tx_00000089,"[""synthetic_wallet_002223""]","[""synthetic_wallet_001693"",""synthetic_wallet_000223"",""synthetic_wallet_000769""]",[0.93635943],"[0.31174077,0.31174077,0.31174077]",0.0011371,P2PKH,NL,64514,EXCHANGE_LIKE
2025-01-20T10:29:12+00:00,203.0.113.242,203.0.113.29,8981,8333,synthetic_tx_00000090,"[""synthetic_wallet_002250""]","[""synthetic_wallet_000537""]",[1.12338443],[1.12233402],0.00105039,P2SH_P2WPKH,GB,64521,NORMAL
2025-01-21T08:10:51+00:00,203.0.113.15,192.0.2.57,31265,18444,synthetic_tx_00000091,"[""synthetic_wallet_001273""]","[""synthetic_wallet_000057"",""synthetic_wallet_002264"",""synthetic_wallet_001673"",""synthetic_wallet_000382""]",[2.48102999],"[0.61991492,0.61991492,0.61991492,0.61991494]",0.00137027,P2SH_P2WPKH,US,64514,EXCHANGE_LIKE
2025-01-22T09:57:18+00:00,198.51.100.192,203.0.113.78,31971,8333,synthetic_tx_00000092,"[""synthetic_wallet_001196""]","[""synthetic_wallet_002086""]",[1.06795134],[1.0672224],0.00072892,P2SH_P2WPKH,CA,64517,NORMAL
2025-01-23T04:58:12+00:00,192.0.2.206,203.0.113.74,52797,443,synthetic_tx_00000093,"[""synthetic_wallet_002456""]","[""synthetic_wallet_002082""]",[2.16686599],[2.16644436],0.00042161,P2WPKH,CA,64517,NORMAL
2025-01-24T21:22:11+00:00,198.51.100.155,198.51.100.220,57729,8333,synthetic_tx_00000094,"[""synthetic_wallet_001159""]","[""synthetic_wallet_001224""]",[1.47081229],[1.46981896],0.00099331,P2TR,FR,64520,LAYERING_LIKE
2025-01-25T13:44:01+00:00,192.0.2.11,203.0.113.218,13387,80,synthetic_tx_00000095,"[""synthetic_wallet_002261""]","[""synthetic_wallet_002226""]",[1.16559431],[1.16510484],0.00048945,P2TR,IN,64512,NORMAL
2025-01-26T11:35:04+00:00,192.0.2.183,192.0.2.179,54200,8333,synthetic_tx_00000096,"[""synthetic_wallet_001683""]","[""synthetic_wallet_000179""]",[1.87452762],[1.87346681],0.00106079,P2SH_P2WPKH,NL,64514,NORMAL
2025-01-27T18:17:16+00:00,192.0.2.152,203.0.113.11,7601,443,synthetic_tx_00000097,"[""synthetic_wallet_000152""]","[""synthetic_wallet_000519""]",[2.4151163],[2.41461161],0.00050467,P2PKH,CA,64513,NORMAL
2025-01-28T05:14:54+00:00,198.51.100.118,192.0.2.63,11140,8333,synthetic_tx_00000098,"[""synthetic_wallet_001872""]","[""synthetic_wallet_000063""]",[1.05444762],[1.05346198],0.00098562,P2WPKH,ZA,64513,NORMAL
2025-01-29T11:57:45+00:00,192.0.2.129,198.51.100.75,25928,18444,synthetic_tx_00000099,"[""synthetic_wallet_001629""]","[""synthetic_wallet_000329""]",[2.13823627],[2.13694583],0.00129042,P2TR,JP,64520,NORMAL
2025-01-30T08:32:51+00:00,192.0.2.148,198.51.100.28,15932,8333,synthetic_tx_00000100,"[""synthetic_wallet_000148""]","[""synthetic_wallet_000282""]",[1.59634449],[1.59496229],0.00138218,P2TR,SG,64519,LAYERING_LIKE
